// Compost colors for cagedmobs. You may add your own colors, change existing ones, or remove colors that aren't needed.
arrow_upgrade, #b8a29d
cooking_upgrade, #dcaa89
creative_upgrade, #d79dcc
crystallized_experience, #ffff9d
diamond_dna_sampler, #9af5ff
dna_sampler, #edf8f8
dragon_scale, #d3bbb6
empty_spawn_egg, #f7f7f7
experience_upgrade, #9a8c73
honey_drop, #ffd22f
lightning_upgrade, #d2abac
looting_upgrade, #dab6a0
milk_drop, #ffffff
nether_star_fragment, #fff8ed
netherite_dna_sampler, #7d7c75
speed_i_upgrade, #917073
speed_ii_upgrade, #c3acb1
speed_iii_upgrade, #729a9d
sponge_fragment, #ffff68
star_infused_netherite_ingot, #83867c
star_infused_netherite_nugget, #737365
warden_receptor, #11aeb8
