// Compost colors for prettypipes. You may add your own colors, change existing ones, or remove colors that aren't needed.
blank_module, #e7e4e0
damage_filter_modifier, #ddc2a5
filter_increase_modifier, #e4d7ca
high_crafting_module, #ab9e7a
high_extraction_module, #e8c3a5
high_filter_module, #bec6ac
high_high_priority_module, #b2c5a5
high_low_priority_module, #d3bfb2
high_retrieval_module, #afc9a8
high_speed_module, #b2c2d6
low_crafting_module, #b59b7f
low_extraction_module, #d9c9b8
low_filter_module, #c9ccb9
low_high_priority_module, #c8ccb8
low_low_priority_module, #d4cabf
low_retrieval_module, #c8cab8
low_speed_module, #d4d7dc
medium_crafting_module, #ae9b7c
medium_extraction_module, #dec3ab
medium_filter_module, #c5cfb4
medium_high_priority_module, #bbc8ac
medium_low_priority_module, #d4c5b9
medium_retrieval_module, #bcccb2
medium_speed_module, #c3ccd9
mod_filter_modifier, #cfc2b6
nbt_filter_modifier, #d2c2b5
pipe_frame, #966f44
random_sorting_modifier, #e6e3e0
redstone_module, #e6c5c2
round_robin_sorting_modifier, #cacfd7
stack_size_module, #f0e6d4
tag_filter_modifier, #d3c9bb
wrench, #c3615f
